index	token	normalize
۸۷۷	تحت تأثير	تحت‌تاثیر
۸۷۸	القائات	القائات
۸۷۹	سياسي	سیاسی
۸۸۰	قرار	قرار
۸۸۱	بگيرد	بگیرد
۸۸۲	؛	؛
	\n	\n
۸۸۳	بلكه	بلکه
۸۸۴	بايد	باید
۸۸۵	خط دهنده	خط‌دهنده
۸۸۶	و	و
۸۸۷	برنامه‌ريز	برنامه‌ریز
۸۸۸	جريانات	جریانات
۸۸۹	سياسي	سیاسی
۸۹۰	باشد	باشد
	\n	
۸۹۱	و	و
۸۹۲	مهمترين	مهم‌ترین
۸۹۳	عنصر	عنصر
۸۹۴	پياده	پیاده
۸۹۵	شدن	شدن
۸۹۶	اين	این
۸۹۷	آرمان	آرمان
۸۹۸	،	،
۸۹۹	دانشجويان	دانشجویان
۹۰۰	و	و
۹۰۱	اعضاي	اعضای
۹۰۲	هيات	هیات
۹۰۳	علمي	علمی
۹۰۴	دانشگاهها	دانشگاه‌ها
۹۰۵	و	و
۹۰۶	در رأس	در‌راس
۹۰۷	آنها	آن‌ها
۹۰۸	استادان	استادان
۹۰۹	نمونه	نمونه
۹۱۰	هستند	هستند
۹۱۱	.	.
	\n	\n
۹۱۲	اگر چه	اگر‌چه
۹۱۳	دانشگاهها	دانشگاه‌ها
۹۱۴	بايد	باید
۹۱۵	پرچمدار	پرچمدار
۹۱۶	كرسيهاي	کرسی‌های
۹۱۷	آزاد	آزاد
۹۱۸	انديشي	اندیشی
۹۱۹	و	و
۹۲۰	حاكميت	حاکمیت
۹۲۱	دانايي	دانایی
۹۲۲	محوري	محوری
۹۲۳	باشند	باشند
۹۲۴	،	،
	\n	\n
۹۲۵	بايد	باید
۹۲۶	توجه	توجه
۹۲۷	داشته باشند	داشته‌باشند
	\n	
۹۲۸	كه	که
۹۲۹	ناخودآگاه	ناخودآکاه
۹۳۰	تحت تأثير	تحت‌تاثیر
۹۳۱	جوسازيها	جوسازی‌ها
۹۳۲	و	و
۹۳۳	رسانه ها	رسانه‌ها
۹۳۴	قرار	قرار
۹۳۵	نگيرند	نگیرند
۹۳۶	.	.
	\n	\n
۹۳۷	القائات	القائات
۹۳۸	اقدامات	اقدامات
۹۳۹	انجام	انجام
۹۴۰	شده	شده
۹۴۱	در جهت	درجهت
۹۴۲	ارتقاي	ارتقاي
۹۴۳	جايگاه	جایگاه
۹۴۴	استادان	استادان
۹۴۵	نمونه	نمونه
۹۴۶	اشاره	اشاره
۹۴۷	كرد	کرد
	\n	
۹۴۸	و	و
۹۴۹	گفت	گفت
۹۵۰	:	:
		
۹۵۱	در	در
۹۵۲	بنياد	بنیاد
۹۵۳	نخبگان	نخبگان
۹۵۴	،	،
۹۵۵	استادان	استادان
۹۵۶	نمونه	نمونه
۹۵۷	از	از
۹۵۸	مصاديق	مصادیق
۹۵۹	نخبگان	نخبگان
۹۶۰	شناخته	شناخته
۹۶۱	شدند	شدند
		
۹۶۲	و	و
۹۶۳	اين	این
۹۶۴	امر	امر
۹۶۵	به لحاظ	به لحاظ
۹۶۶	معنوي	معنوی
۹۶۷	،	،
۹۶۸	اهميت	اهمیت
۹۶۹	ويژهاي	ویژه‌ای
۹۷۰	دارد	دارد
۹۷۱	.	.
	\n	\n
۹۷۲	در	در
۹۷۳	تعريف	تعریف
۹۷۴	و	و
۹۷۵	تعيين	تعیین
۹۷۶	شاخصهاي	شاخص‌های
۹۷۷	لازم	لازم
۹۷۸	براي	برای
۹۷۹	انتخاب	انتخاب
۹۸۰	"	"
۹۸۱	استاد	استاد
۹۸۲	نمونه	نمونه
۹۸۳	"	"
۹۸۴	بازنگري	بازنگری
۹۸۵	كنند	کنند
	\n	\n
۹۸۶	با	با
۹۸۷	وسواس	وسواس
۹۸۸	و	و
۹۸۹	دقت	دقت
۹۹۰	،	،
۹۹۱	همچنين	همچنین
۹۹۲	در	در
۹۹۳	اين	این
۹۹۴	برنامه	برنامه
۹۹۵	از	از
۹۹۶	جمعي	جمعی
۹۹۷	از	از
۹۹۸	دانش آموختهگان	دانش‌آموختگان
۹۹۹	نمونه	نمونه
۱۰۰۰	و	و
۱۰۰۱	استادان	استادان
۱۰۰۲	پيش كسوت	پیشکسوت
۱۰۰۳	اين	این
۱۰۰۴	موسسه	موسسه
۱۰۰۵	تقدير	تقدیر
۱۰۰۶	مي‌شود	می‌شود
۱۰۰۷	.	.
	\n	\n
۱۰۰۸	سقراط	سقراط
۱۰۰۹	به	به
۱۰۱۰	دستور	دستور
۱۰۱۱	دادستان	دادستان
۱۰۱۲	جام	جام
۱۰۱۳	شوکران	شوکران
۱۰۱۴	را	را
۱۰۱۵	نوشید	نوشید
۱۰۱۶	.	.
	\n	\n
۱۰۱۷	هم چنين	همچنین
۱۰۱۸	نتايج	نتایج
۱۰۱۹	مشروطين	مشروطین
۱۰۲۰	اسفند	اسنفد
۱۰۲۱	ماه	ماه
۱۰۲۲	82	۸۲
۱۰۲۳	كه	که
۱۰۲۴	درس	درس
۱۰۲۵	مشروطي	مشروطی
۱۰۲۶	خود	خود
۱۰۲۷	را	را
۱۰۲۸	در	در
۱۰۲۹	آزمون	آزمون
۱۰۳۰	مرداد	مرداد
۱۰۳۱	ماه	ماه
۱۰۳۲	83	۸۳
۱۰۳۳	امتحان	امتحان
۱۰۳۴	داده‌اند	داده‌اند
۱۰۳۵	.	.
	\n	\n
۱۰۳۶	مردی	مردی
۱۰۳۷	به	به 
۱۰۳۸	اطفال	اطفال
۱۰۳۹	گفت	گفت
۱۰۴۰	که	که
۱۰۴۱	گلها	گل‌ها
۱۰۴۲	را	را
۱۰۴۳	نکنند	نکنند
۱۰۴۴	.	.
	\n	\n
۱۰۴۵	بنا به دلايل	بنا به دلیل
۱۰۴۶	معرفي	معرفی
۱۰۴۷	شده	شده
۱۰۴۸	با	با
۱۰۴۹	اخذ	اخذ
۱۰۵۰	نمرات	نمرات
۱۰۵۱	٢٠	۲۰
۱۰۵۲	غير واقعي	غیر‌واقعی
۱۰۵۳	به	به
۱۰۵۴	گروه	گروه
۱۰۵۵	معدل	معدل
۱۰۵۶	بيست‌ها	بیست‌ها
۱۰۵۷	پيوسته‌اند	پیوسته‌اند
		
۱۰۵۸	كه	که
۱۰۵۹	در	در
۱۰۶۰	طول	طول
۱۰۶۱	١٤	۱۴
۱۰۶۲	سال	سال
۱۰۶۳	گذشته	گذشته
۱۰۶۴	بر	بر
۱۰۶۵	تعداد	تعداد
۱۰۶۶	اين	این
۱۰۶۷	معدل	معدل
۱۰۶۸	بيست‌ها	بیست‌ها
۱۰۶۹	به طور	به طور
۱۰۷۰	بي‌رويه‌اي	بي‌رويه‌ای
۱۰۷۱	اضافه	اضافه
۱۰۷۲	شده است	شده‌است
	\n	\n
۱۰۷۳	اين	این
۱۰۷۴	محقق	محقق
۱۰۷۵	تاكيد	تاکید
۱۰۷۶	دارد	دارد
۱۰۷۷	:	:
		
۱۰۷۸	منطقي‌ترين	منطقی‌ترین
۱۰۷۹	روش	روش
۱۰۸۰	ارزش يابي	ارزش‌یابی
۱۰۸۱	سيره	سیره
۱۰۸۲	نبوي	نبوی
۱۰۸۳	رشته‌هاي	رشته‌های
۱۰۸۴	متنوع	متنوع
۱۰۸۵	ديگري	دیگری
۱۰۸۶	همچون	همچون
۱۰۸۷	وبلاگ نويسي	وبلاگ نویسی
۱۰۸۸	،	،
۱۰۸۹	كتابخواني	کتابخوانی
۱۰۹۰	،	،
۱۰۹۱	گرافيك	گرافیک
۱۰۹۲	،	،
۱۰۹۳	كاريكاتور	کاریکاتور
۱۰۹۴	،	،
۱۰۹۵	شعر	شعر
۱۰۹۶	،	،
۱۰۹۷	داستان	داستان
۱۰۹۸	کوتاه	کوتاه
۱۰۹۹	،	،
۱۱۰۰	عكاسي	عکاسی
۱۱۰۱	،	،
۱۱۰۲	خوشنويسي	خوشنویسی
۱۱۰۳	،	،
۱۱۰۴	چهل	چهل
۱۱۰۵	حديث نويسي	حدیث نویسی
۱۱۰۶	،	،
۱۱۰۷	نماهنگ	نماهنگ
۱۱۰۸	و	و
۱۱۰۹	فيلم	فیلم
۱۱۱۰	كوتاه	کوتاه
۱۱۱۱	پيش بيني	پیش بینی
۱۱۱۲	شده است	شده است
۱۱۱۳	.	.
	\n	\n
۱۱۱۴	نخستين	نخستین
۱۱۱۵	مركز	مرکز
۱۱۱۶	آموزش	آموزش
۱۱۱۷	عالي	عالی
۱۱۱۸	بين‌المللي	بین‌المللی
۱۱۱۹	دانشگاه	دانشگاه
۱۱۲۰	موناش	موناش
۱۱۲۱	استراليا	استرالیا
۱۱۲۲	در	در
۱۱۲۳	کیش	کیش
۱۱۲۴	آغاز	آغاز
۱۱۲۵	به كار	به‌کار
۱۱۲۶	كرد	کرد
۱۱۲۷	.	.
	\n	\n
۱۱۲۸	وی	وی
۱۱۲۹	اعلام	اعلام
۱۱۳۰	و	و
۱۱۳۱	پيش بيني	پیش بینی
۱۱۳۲	كرد	کرد
	\n	\n
۱۱۳۳	دومين	دومین
۱۱۳۴	گردهمآيي	گرده‌همایی
۱۱۳۵	دانشجویان	دانشجویان
۱۱۳۶	هفتمين	هفتمین
۱۱۳۷	اجلاس	اجلاس
۱۱۳۸	مشترك	مشترک
۱۱۳۹	هياتهاي	هیات‌های
۱۱۴۰	امناي	امنای
۱۱۴۱	دانشگاهها	دانشگاه‌ها
۱۱۴۲	و	و
۱۱۴۳	موسسات	موسسات
۱۱۴۴	آموزش	آموزش
۱۱۴۵	عالي	عالی
۱۱۴۶	و	و
۱۱۴۷	پژوهشي	پژوهشی
۱۱۴۸	برگزار	برگزار
۱۱۴۹	شد	شد
۱۱۵۰	.	.
	\n	\n
۱۱۵۱	آيين‌نامه های	آيين‌نامه های
۱۱۵۲	مالي	مالی
۱۱۵۳	و	و
۱۱۵۴	معاملاتي	معاملاتی
۱۱۵۵	دانشگاهها	دانشگاه‌ها
۱۱۵۶	برای	برای
۱۱۵۷	رفع	رفع
۱۱۵۸	معضلات	معضلات
۱۱۵۹	معيشتي	معیشتی
۱۱۶۰	كاركنان	کارکنان
۱۱۶۱	موجب	موجب
۱۱۶۲	نگراني	نگرانی
۱۱۶۳	افكار	افکار
۱۱۶۴	عمومي	عمومی
۱۱۶۵	و	و
۱۱۶۶	ايجاد	ایجاد
۱۱۶۷	بد بيني	بدبینی
۱۱۶۸	در	در
۱۱۶۹	اذهان	اذهان
۱۱۷۰	جوانان	جوانان
۱۱۷۱	داوطلب	داوطلب
۱۱۷۲	ورود	ورود
۱۱۷۳	به	به
۱۱۷۴	دانشگاه‌ها	دانشگاه‌ها
۱۱۷۵	شده است	شده‌است
۱۱۷۶	.	.
	\n	\n
۱۱۷۷	هرگونه	هرگونه
۱۱۷۸	شائبه‌اي	شائبه‌ای
۱۱۷۹	به دور	به‌دور
۱۱۸۰	است	است
		
۱۱۸۱	و	و
۱۱۸۲	به هيچ وجه	به هیچ وجه
۱۱۸۳	ورود	ورود
۱۱۸۴	داوطلبي	داوطلبی
۱۱۸۵	به	به
۱۱۸۶	دانشگاه	دانشگاه
۱۱۸۷	بدون	بدون
۱۱۸۸	شركت	شرکت
۱۱۸۹	در	در
۱۱۹۰	آزمون	آزمون
۱۱۹۱	سراسري	سراسری
۱۱۹۲	و	و
۱۱۹۳	كسب	کسب
۱۱۹۴	اولويت	اولیت
۱۱۹۵	علمي	علمی
۱۱۹۶	امكان‌پذير	امكان‌پذير
۱۱۹۷	نبوده	نبوده
۱۱۹۸	و	و
۱۱۹۹	نيست	نیست
۱۲۰۰	.	.
	\n	\n
۱۲۰۱	به	به
۱۲۰۲	واحدهاي	واحد‌های
۱۲۰۳	دانشگاهي	دانشگاهی
۱۲۰۴	تهران	تهران
۱۲۰۵	سماء	سما
۱۲۰۶	،	،
۱۲۰۷	آشتيان	آشتیان
۱۲۰۸	،	،
۱۲۰۹	اراك	اراک
۱۲۱۰	،	،
۱۲۱۱	اسلامشهر	اسلامشهر
۱۲۱۲	،	،
۱۲۱۳	قائم شهر	قائم شهر
۱۲۱۴	،	،
۱۲۱۵	خوي	خوی
۱۲۱۶	،	،
۱۲۱۷	رودهن	رودهن
۱۲۱۸	،	،
۱۲۱۹	زرند	زرند
۱۲۲۰	،	،
۱۲۲۱	زنجان	زنجان
۱۲۲۲	،	،
۱۲۲۳	سوادكوه	سوادکوه
۱۲۲۴	،	،
۱۲۲۵	شاهرود	شاهرود
۱۲۲۶	،	،
۱۲۲۷	شبستر	شبستر
۱۲۲۸	،	،
۱۲۲۹	شهركرد	شهرکرد
۱۲۳۰	،	،
۱۲۳۱	علوم	علوم
۱۲۳۲	و	و
۱۲۳۳	تحقيقات	تحقیقات
۱۲۳۴	تهران	تهران
۱۲۳۵	،	،
۱۲۳۶	كاشان	کاشان
۱۲۳۷	،	،
۱۲۳۸	كرج	کرج
۱۲۳۹	،	،
۱۲۴۰	كرمان	کرمان
۱۲۴۱	،	،
۱۲۴۲	مراغه	مراغه
۱۲۴۳	،	،
۱۲۴۴	ميمه	میمه
۱۲۴۵	،	،
۱۲۴۶	ورامين	ورامین
۱۲۴۷	و	و
۱۲۴۸	...	.
	\n	\n
۱۲۴۹	در	در
۱۲۵۰	مقطع	مقطع
۱۲۵۱	كارشناسي	کارشناسی
۱۲۵۲	ارشد	ارشد
۱۲۵۳	در	در
۱۲۵۴	شاخه‌هاي	شاخه‌های
۱۲۵۵	بيوسيستماتيك	بيوسيستماتیك
۱۲۵۶	،	،
۱۲۵۷	گياهي	گیاهی
۱۲۵۸	و	و
۱۲۵۹	جانوري	جانوری
۱۲۶۰	جنين شناسي	جنین شناسی
۱۲۶۱	،	،
۱۲۶۲	اكولوژي	اکولوژی
۱۲۶۳	،	،
۱۲۶۴	فيزيولوژي	فیزیولوژی
۱۲۶۵	،	،
۱۲۶۶	سلولي	سلولی
۱۲۶۷	،	،
۱۲۶۸	مولكولي	مولکولی
۱۲۶۹	و	و
۱۲۷۰	بيوشيمي	بیوشیمی
۱۲۷۱	و	و
۱۲۷۲	در	در
۱۲۷۳	دوره	دوره
۱۲۷۴	دكترا	دکترا
۱۲۷۵	در	در
۱۲۷۶	گرايش	گرایش
۱۲۷۷	سلولي	سلولی
۱۲۷۸	،	،
۱۲۷۹	مولكولي	مولکولی
۱۲۸۰	مشغول	مشغول
۱۲۸۱	به	به
۱۲۸۲	تحصيل	تحصیل
۱۲۸۳	مي‌باشند	می‌باشن
۱۲۸۴	.	.
	\n	\n
۱۲۸۵	كارخانه‌هاي	کارخانه‌های
۱۲۸۶	مواد	مواد
۱۲۸۷	غذايي	غذایی
۱۲۸۸	و	و
۱۲۸۹	اداره‌هاي‌	اداره‌های
۱۲۹۰	بهداشت	بهداشت
۱۲۹۱	فعاليت	فعالیت
۱۲۹۲	كنند	کنند
۱۲۹۳	.	.
	\n	\n
۱۲۹۴	با اين حال	با این حال
۱۲۹۵	شوراي	شورای
۱۲۹۶	شهر	شهر
۱۲۹۷	در كل	درکل
۱۲۹۸	يك	یک
۱۲۹۹	امر	امر
۱۳۰۰	سرنوشت ساز	سرنوشت ساز
۱۳۰۱	بوده	بوده
۱۳۰۲	و	و
۱۳۰۳	اميد	امید
۱۳۰۴	است	است
۱۳۰۵	تا	تا
۱۳۰۶	،	،
۱۳۰۷	مشاركت	مشارکت
۱۳۰۸	داشته باشند	داشته باشند
۱۳۰۹	.	.
	\n	\n
۱۳۱۰	تاكيد	تاکید
۱۳۱۱	كرد	کرد
۱۳۱۲	:	:
	\n	
۱۳۱۳	اگر	اگر
۱۳۱۴	به	به
۱۳۱۵	دانشمندان	داشمندان
۱۳۱۶	ارج	ارج
۱۳۱۷	ننهيم	ننهیم
۱۳۱۸	،	،
۱۳۱۹	آزادي	آزادی
۱۳۲۰	و	و
۱۳۲۱	انگيزه	انگیزه
۱۳۲۲	علمي	علمی
۱۳۲۳	را	را
۱۳۲۴	در	در 
۱۳۲۵	آنان	آنان
۱۳۲۶	تقويت	تقویت
۱۳۲۷	نكنيم	نکنیم
۱۳۲۸	!	!
	\n	\n
۱۳۲۹	توسعه	توسعه
۱۳۳۰	همه	همه
۱۳۳۱	جانبه	جانبه
۱۳۳۲	كشور	کشور
۱۳۳۳	تحقق ناپذير	تحقق ناپذير
۱۳۳۴	خواهد ماند	خواهد ماند
۱۳۳۵	.	.
	\n	\n
۱۳۳۶	اظهار	اظهار
۱۳۳۷	كرد	کرد
۱۳۳۸	:	:
	\n	
۱۳۳۹	اسم	اسم
۱۳۴۰	دانشگاهیا	دانشگاهیان
۱۳۴۱	مردمان	مردمان
۱۳۴۲	گرگان	گرگان
۱۳۴۳	دچار	دچار
۱۳۴۴	یاس	یاس
۱۳۴۵	شدند	شدند
۱۳۴۶	.	.
	\n	
۱۳۴۷	نیاکان	نیاکان
۱۳۴۸	ما	ما
۱۳۴۹	افرادی	افرادی
۱۳۵۰	روشن	روشن
۱۳۵۱	ضمیر	ضمیر
۱۳۵۲	بودند	بودند
۱۳۵۳	.	.
	\n	
۱۳۵۴	ن	نه
۱۳۵۵	برخی	برخی
۱۳۵۶	از	از
۱۳۵۷	ملاکهای	ملاکهای
۱۳۵۸	رتبه بندی	رتبهبندی
۱۳۵۹	دانشگاههای	دانشگاههای
۱۳۶۰	دنیاست	دنیاست
۱۳۶۱	.	.
	\n	
۱۳۶۲	برنامه ریزی	برنامهریزی
۱۳۶۳	شهری	شهری
۱۳۶۴	،	،
۱۳۶۵	فیزیک	فیزیک
۱۳۶۶	،	،
۱۳۶۷	جغرافیای	جغرافیای
۱۳۶۸	انسانی	انسانی
۱۳۶۹	-	-
۱۳۷۰	علوم	علوم
۱۳۷۱	افتصادی	اقتصادی
۱۳۷۲	جغرافیای	جغرافیای
۱۳۷۳	طبیعی	طبیعی
۱۳۷۴	-	-
۱۳۷۵	ژئوموفولوژي	ژئوموفولوژي
۱۳۷۶	،	،
۱۳۷۷	مدیریت	مدیریت
۱۳۷۸	آموزشی	آموزشی
۱۳۷۹	،	،
۱۳۸۰	آموزش	آموزش
۱۳۸۱	زبان	زبان
۱۳۸۲	انگلیسی	انگلیسی
۱۳۸۳	،	،
۱۳۸۴	برنامه ریزی	برنامهریزی
۱۳۸۵	درسی	درسی
۱۳۸۶	زبان	زبان
۱۳۸۷	و	و
۱۳۸۸	ادبیات	ادبیات
۱۳۸۹	عرب	عرب
۱۳۹۰	،	،
۱۳۹۱	مشاوره	مشاوره
۱۳۹۲	،	،
۱۳۹۳	زبانشناسی	زبانشناسی
۱۳۹۴	همگانی	همگانی
۱۳۹۵	کامپیوتر	کامپیوتر
۱۳۹۶	-	-
۱۳۹۷	نرم افزار	نرمافزار
۱۳۹۸	آمار	آمار
۱۳۹۹	کامپیوتر	کامپیوتر
۱۴۰۰	-	-
۱۴۰۱	معماری	معماری
۱۴۰۲	کامپیوتر	کامپیوتر
۱۴۰۳	،	،
۱۴۰۴	ریاضی	ریاضی
۱۴۰۵	-	-
۱۴۰۶	آنالیز	آنالیز
۱۴۰۷	ریاضی	ریاضی
۱۴۰۸	-	-
۱۴۰۹	جبر	جبر
۱۴۱۰	،	،
۱۴۱۱	زمین شناسی	زمینشناسی
۱۴۱۲	-	-
۱۴۱۳	چینه	چینه
۱۴۱۴	و	و
۱۴۱۵	فسیل شناسی	فسیلشناسی
۱۴۱۶	و	و
۱۴۱۷	میکروبیولوژی	میکروبیولوژی
۱۴۱۸	دانشجوی	دانشجو
۱۴۱۹	دکترا	دکترا
۱۴۲۰	می پذیرد	میپذیرد
۱۴۲۱	.	.
	\n	
۱۴۲۲	کسب	کسب
۱۴۲۳	حد نصاب	حدنصاب
۱۴۲۴	لازم	لازم
۱۴۲۵	در	در
۱۴۲۶	آزمون	آزمون
۱۴۲۷	ورودی	ورودی
۱۴۲۸	به	به
۱۴۲۹	دوره ی	دوره 
۱۴۳۰	دکتری	دکتری
۱۴۳۱	از	از
۱۴۳۲	دیگر	دیگر
۱۴۳۳	شرایط	شرایط
۱۴۳۴	ثبت نام	ثبتنام
۱۴۳۵	است	است
۱۴۳۶	.	.
		
۱۴۳۷	دانشگاه	دانشگاه
۱۴۳۸	غیر مجاز	غیرمجاز
۱۴۳۹	هاوایی	هاوایی
۱۴۴۰	در 	در
۱۴۴۱	سال	سال
۱۴۴۲	1372	۱۳۷۲
۱۴۴۳	تاسیس	تاسیس
۱۴۴۴	شد	شد
	\n	
۱۴۴۴	و 	و
۱۴۴۵	500	۵۰۰
۱۴۴۶	فارغ التحصیل	فارغالتحصیل
۱۴۴۷	بود	بود
۱۴۴۸	که	که
۱۴۴۹	همگی	همگی
۱۴۵۰	آنها	آنها
۱۴۵۱	شناسایی	شناسایی
۱۴۵۲	شده اند	شدهاند
	\n	
۱۴۵۳	و	و
۱۴۵۴	براساس	براساس
۱۴۵۵	کیفرخواست	کیفرخواست
۱۴۵۶	حبس	حبس
۱۴۵۷	تعزیری	تعزیری
۱۴۵۸	)	)
۱۴۵۹	بازدارنده	بازدارنده
۱۴۶۰	(	)
۱۴۶۱	به	به
۱۴۶۲	اتهام	اتهام
۱۴۶۳	کلاهبرداری	کلاهبرداری
۱۴۶۴	تبرئه	تبرئه
۱۴۶۵	شده	شده
	\n	
۱۴۶۶	و	و
۱۴۶۷	حکم	حکم
۱۴۶۸	3	۳
۱۴۶۹	سال	سال
۱۴۷۰	وی	وی
۱۴۷۱	نیز	نیز
۱۴۷۲	نقض	نقض
۱۴۷۳	شده است	شدهاست
۱۴۷۴	.	.
	\n	
۱۴۷۵	در	در
۱۴۷۶	صورت	صورت
۱۴۷۷	ضرورت	ضرورت
۱۴۷۸	اسامی	اسامی
۱۴۷۹	فارغ التحصیلان	فارغالتحصیلان
۱۴۸۰	ذی نفع	ذینفع
۱۴۸۱	منتشر	منتشر
۱۴۸۲	می شود	میشود
۱۴۸۳	.	.
	\n	
۱۴۸۴	تبعات	تبعات
۱۴۸۵	منفی	منفی
۱۴۸۶	زیادی	زیادی
۱۴۸۷	به دنبال	بهدنبال
۱۴۸۸	خواهد داشت	خواهدداشت
۱۴۸۹	.	.
	\n	
۱۴۹۰	سلام	سلام
۱۴۹۱	به	به
۱۴۹۲	همه ی	همه
۱۴۹۳	مردم	مردم
۱۴۹۴	ایران	ایران
۱۴۹۵	که	که
۱۴۹۶	خوش	خوش
۱۴۹۷	اخلاق	اخلاق
۱۴۹۸	هستند	هستند
۱۴۹۹	.	.
	\n	
۱۵۰۰	پلنگی	پلنگی
۱۵۰۱	با	با
۱۵۰۲	پوستی	پوستی
۱۵۰۳	راه راه	راهراه
۱۵۰۴	دیدم	دیدم
	\n	
۱۵۰۵	که	که
۱۵۰۶	تند تند	تندتند
۱۵۰۷	می دوید	میدوید
۱۵۰۸	من	من
۱۵۰۹	ترسیدم	ترسیدم
	\n	
۱۵۱۰	و	و
۱۵۱۱	گفتم	گفتم
۱۵۱۲	وااای	واای
۱۵۱۳	.	.
	\n	
۱۵۱۴	محصولاتی	محصولاتی
۱۵۱۵	نظیر	نظیر
۱۵۱۶	پلاستیک	پلاستیک
۱۵۱۷	،	،
۱۵۱۸	دارو	دارو
۱۵۱۹	مواد	مواد
۱۵۲۰	شوینده	شوینده
۱۵۲۱	و	و
۱۵۲۲	سوخت ها	سوختها
۱۵۲۳	در	در
۱۵۲۴	واحدهای	واحدهای
۱۵۲۵	عملی	عملی
۱۵۲۶	استفاده	استفاده
۱۵۲۷	میکنند	میکنند
	\n	
۱۵۲۸	و 	و
۱۵۲۹	همچنین	همچنین
۱۵۳۰	برای 	برای
۱۵۳۱	بالابردن	بالابردن
۱۵۳۲	تولید	تولید
۱۵۳۳	برنامه ریزی	برنامهریزی
۱۵۳۴	می کند	میکند
۱۵۳۵	.	.
	\n	
۱۵۳۶	انرژی	انرژی
۱۵۳۷	هسته‌اي	هستهای
۱۵۳۸	صنایع	صنایع
۱۵۳۹	غذایی	غذایی
۱۵۴۰	،	،
۱۵۴۱	توسعه‌ي	توسعه
۱۵۴۲	منابع	منابع
۱۵۴۳	جدید	جدید
۱۵۴۴	انرژی	انرژی
۱۵۴۵	،	،
۱۵۴۶	تحقیقات	تحقیقات
۱۵۴۷	،	، 
۱۵۴۸	مدیریت	مدیریت
۱۵۴۹	،	،
۱۵۵۰	پردازش	پردازش
۱۵۵۱	داده‌ها	دادهها
۱۵۵۲	و	و
۱۵۵۳	میزان	میزان
۱۵۵۴	و	و
۱۵۵۵	بازار	بازار
۱۵۵۶	فروش	فروش
۱۵۵۷	از	از
۱۵۵۸	دیگر	دیگر
۱۵۵۹	زمينه‌هاي	زمینههای
۱۵۶۰	فعالیت	فعالیت
۱۵۶۱	مهندسان	مهندسان
۱۵۶۲	شیمی	شیمی
۱۵۶۳	مي‌باشد	میباشد
۱۵۶۴	.	.
	\n	
۱۵۶۵	اما	اما
۱۵۶۶	قواغنین	قوانین
۱۵۶۷	دست	دست
۱۵۶۸	و	و
۱۵۶۹	پاگیر	پاگیر
۱۵۷۰	دانشگاه	دانشگاه
۱۵۷۱	قم	قم
۱۵۷۲	،	،
۱۵۷۳	چون	چون
۱۵۷۴	همیشه	همیشه
۱۵۷۵	انگیزه ها	انگیزهها
۱۵۷۶	و	و
۱۵۷۷	اراده‌ها	ارادهها
۱۵۷۸	را	را
۱۵۷۹	سرد	سرد
۱۵۸۰	و	و
۱۵۸۱	بی رمق	بیرمق
۱۵۸۲	مي‌نمايد	مینماید
۱۵۸۳	.	.
	\n	
۱۵۸۴	ترافیک	ترافیک
۱۵۸۵	شدید	شدید
۱۵۸۶	در 	در
۱۵۸۷	اتوبان	اتوبان
۱۵۸۸	چمران	چمران
۱۵۸۹	بسیار	بسیار
۱۵۹۰	آزار دهنده	آزاردهنده
۱۵۹۱	بود	بود
۱۵۹۲	.	.
	\n	
۱۵۹۳	آهنگی	آ:هنگی
۱۵۹۴	شنیدم	شنیدم
		
۱۵۹۵	که	که
۱۵۹۶	خواننده	خواننده
۱۵۹۷	با	با
۱۵۹۸	صدایی	صدایی
۱۵۹۹	زیبا	زیبا
۱۶۰۰	و	و
۱۶۰۱	رسا	رسا
۱۶۰۲	آن	آن
۱۶۰۳	را	را
۱۶۰۴	میخواند	میخواند
۱۶۰۵	.	.
	\n	
۱۶۰۶	دختری	دختری
۱۶۰۷	با	با
۱۶۰۸	کفشهای	کفشهای
۱۶۰۹	کتانی	کتانی
۱۶۱۰	دیدم	دیدم
۱۶۱۱	که	که
۱۶۱۲	سبزیجات	سبزیجات
۱۶۱۳	میخورد	میخورد
۱۶۱۴	.	.
	\n	
۱۶۱۵	واحد	واحد
۱۶۱۶	مرکزی	مرکزی
۱۶۱۷	خبر	خبر
۱۶۱۸	اخبار	اخبار
۱۶۱۹	جدیدی	جدیدی
۱۶۲۰	را	را
۱۶۲۱	مخابره	مخابره
۱۶۲۲	کرد	کرد
۱۶۲۳	.	.
	\n	
۱۶۲۴	چرا	چرا
۱۶۲۵	لباسهای	لباسهای
۱۶۲۶	خواهرت	خواهرت
۱۶۲۷	را	را
۱۶۲۸	اتو	اتو
۱۶۲۹	نکردی	نکردی
۱۶۳۰	؟	؟
	\n	
۱۶۳۱	دشمنان	دشمنان
۱۶۳۲	ایران	ایران
۱۶۳۳	در	در
۱۶۳۴	همه	همه
۱۶۳۵	نقاط	نقاط
۱۶۳۶	جهان	جهان
۱۶۳۷	پراکننده	پراکنده
۱۶۳۸	هستند	هستند
۱۶۳۹	.	.
	\n	
۱۶۴۰	گروه	گروه
۱۶۴۱	بزرگ	بزرگ
۱۶۴۲	موسیقیایی	موسیقیایی
۱۶۴۳	پاپ راک	پاپراک
۱۶۴۴	در	در
۱۶۴۵	کابل	کابل
۱۶۴۶	کنسرت	کنسرت
۱۶۴۷	خواهند داشت	خواهندداشت
۱۶۴۸	.	.
	\n	
۱۶۴۹	دیشب	دیشب
